ukrball100;mathball100;physball100;year
170;155;131;2018
132;168;117;2018
131;127;121;2018
188;192;159;2018
112;107;109;2018
104;104;0;2018
0;114;0;2018
109;0;0;2018
152;122;121;2018
107;0;100;2018
183;178;166;2018
188;195;190;2018
163;175;157;2018
141;117;104;2018
175;172;164;2018
129;129;168;2018
187;175;168;2018
0;122;113;2018
177;172;143;2018
183;189;109;2018
164;155;131;2018
189;191;157;2018
159;129;100;2018
183;182;157;2018
191;188;190;2018
111;107;104;2018
118;117;0;2018
119;107;121;2018
166;166;181;2018
157;178;138;2018
156;138;143;2018
151;104;109;2018
169;159;161;2018
104;0;0;2018
105;100;0;2018
145;150;138;2018
150;170;125;2018
0;0;117;2018
157;127;113;2018
175;186;166;2018
185;152;149;2018
183;182;177;2018
0;100;0;2018
158;177;131;2018
169;119;100;2018
173;180;159;2018
178;189;193;2018
135;157;109;2018
157;136;166;2018
135;129;109;2018
160;142;113;2018
173;163;174;2018
166;182;194;2018
178;178;157;2018
182;189;193;2018
168;193;186;2018
151;111;138;2018
166;161;125;2018
179;183;164;2018
134;111;113;2018
105;0;0;2018
171;144;135;2018
136;119;125;2018
121;114;104;2018
189;196;198;2018
150;157;125;2018
118;0;109;2018
169;175;143;2018
171;172;159;2018
190;183;169;2018
100;107;121;2018
180;119;128;2018
104;104;125;2018
194;153;131;2018
153;166;145;2018
175;168;145;2018
138;119;121;2018
134;114;0;2018
135;0;0;2018
151;140;109;2018
121;117;109;2018
126;0;125;2018
159;155;128;2018
167;178;125;2018
126;117;121;2018
143;146;125;2018
159;163;0;2018
100;0;104;2018
123;0;0;2018
0;100;0;2018
129;131;109;2018
147;104;109;2018
136;0;117;2018
116;107;128;2018
168;122;109;2018
160;166;121;2018
111;104;113;2018
157;136;117;2018
179;153;138;2018
162;140;155;2018
183;166;161;2018
158;166;143;2018
111;124;100;2018
170;159;145;2018
104;0;0;2018
131;138;100;2018
143;133;113;2018
157;172;140;2018
102;0;0;2018
176;136;100;2018
0;104;100;2018
159;180;161;2018
166;131;125;2018
183;186;178;2018
129;117;104;2018
112;133;109;2018
116;0;0;2018
142;172;159;2018
123;0;0;2018
156;175;169;2018
186;191;194;2018
170;170;145;2018
102;107;0;2018
163;124;117;2018
135;142;104;2018
131;136;125;2018
163;148;140;2018
142;111;125;2018
102;0;0;2018
185;163;121;2018
131;104;138;2018
175;175;174;2018
155;114;0;2018
191;189;174;2018
0;114;109;2018
138;104;100;2018
100;0;109;2018
176;159;131;2018
126;0;125;2018
139;155;113;2018
165;136;117;2018
170;152;143;2018
119;124;121;2018
112;0;109;2018
163;182;131;2018
126;144;143;2018
111;136;100;2018
131;111;113;2018
174;146;117;2018
142;119;100;2018
143;0;121;2018
183;188;169;2018
0;104;0;2018
134;122;131;2018
0;0;0;2018
159;153;131;2018
171;170;149;2018
173;175;166;2018
0;0;0;2018
146;175;157;2018
183;178;183;2018
171;182;125;2018
146;170;128;2018
127;148;109;2018
150;150;125;2018
164;173;143;2018
116;0;0;2018
182;157;140;2018
181;104;125;2018
132;119;0;2018
131;138;113;2018
116;111;0;2018
191;177;153;2018
145;140;145;2018
165;138;0;2018
114;117;138;2018
167;164;145;2018
118;114;100;2018
171;166;138;2018
134;129;104;2018
190;178;186;2018
163;161;155;2018
176;177;155;2018
146;178;180;2018
186;189;195;2018
0;0;0;2018
186;199;155;2018
176;182;166;2018
124;119;117;2018
102;131;0;2018
145;117;104;2018
157;133;131;2018
142;136;104;2018
111;131;104;2018
119;0;125;2018
155;114;0;2018
163;146;140;2018
171;166;157;2018
112;0;0;2018
160;164;147;2018
199;196;198;2018
0;107;100;2018
191;200;183;2018
164;164;155;2018
123;124;117;2018
105;0;0;2018
178;161;128;2018
135;114;0;2018
150;127;128;2018
145;155;143;2018
188;192;184;2018
159;164;152;2018
112;0;0;2018
0;107;135;2018
142;166;149;2018
0;100;0;2018
159;188;155;2018
105;104;0;2018
119;182;159;2018
181;175;180;2018
116;114;0;2018
139;107;0;2018
171;180;172;2018
182;189;174;2018
171;168;138;2018
112;0;117;2018
179;163;147;2018
124;107;0;2018
109;0;0;2018
192;198;197;2018
102;124;121;2018
153;144;138;2018
139;127;135;2018
111;107;113;2018
178;180;143;2018
155;140;149;2018
188;188;180;2018
164;172;145;2018
176;183;168;2018
116;122;113;2018
146;124;117;2018
148;159;135;2018
119;0;113;2018
134;122;117;2018
182;180;177;2018
119;0;125;2018
126;117;0;2018
155;175;138;2018
171;159;163;2018
175;133;109;2018
165;185;145;2018
155;170;125;2018
167;164;155;2018
194;199;193;2018
186;191;193;2018
132;127;0;2018
187;188;175;2018
121;127;0;2018
0;0;113;2018
174;185;186;2018
184;164;153;2018
147;133;128;2018
160;170;171;2018
162;186;174;2018
123;114;117;2018
105;107;109;2018
119;136;121;2018
107;0;0;2018
0;0;117;2018
155;178;143;2018
152;146;145;2018
124;100;100;2018
134;133;0;2018
177;152;157;2018
168;168;153;2018
159;192;164;2018
141;114;113;2018
134;127;0;2018
186;168;166;2018
180;178;138;2018
173;166;163;2018
0;0;100;2018
186;183;164;2018
136;129;128;2018
169;188;155;2018
160;146;121;2018
124;117;113;2018
177;195;184;2018
148;146;113;2018
116;122;113;2018
123;0;109;2018
102;0;0;2018
102;119;100;2018
166;166;140;2018
184;172;175;2018
126;114;147;2018
111;114;0;2018
131;133;104;2018
170;182;145;2018
156;161;109;2018
127;142;166;2018
155;114;125;2018
164;164;153;2018
111;124;113;2018
129;0;131;2018
112;100;0;2018
126;152;131;2018
151;168;113;2018
0;0;109;2018
186;178;161;2018
185;195;184;2018
176;178;183;2018
124;140;104;2018
100;0;121;2018
107;100;117;2018
129;0;109;2018
121;107;113;2018
191;183;163;2018
100;100;0;2018
0;0;104;2018
184;189;113;2018
105;107;0;2018
165;122;131;2018
127;107;104;2018
124;114;109;2018
107;0;0;2018
164;191;189;2018
118;0;121;2018
135;142;164;2018
176;180;178;2018
189;189;169;2018
123;0;117;2018
188;186;183;2018
165;127;149;2018
194;192;198;2018
182;189;184;2018
175;166;135;2018
139;127;0;2018
169;166;100;2018
136;133;113;2018
167;129;104;2018
147;136;135;2018
0;0;0;2018
186;191;153;2018
0;111;0;2018
166;142;152;2018
178;192;177;2018
157;163;175;2018
192;192;152;2018
158;170;140;2018
178;180;166;2018
139;131;0;2018
194;189;183;2018
175;175;166;2018
166;185;184;2018
124;104;0;2018
112;0;113;2018
184;189;178;2018
191;173;180;2018
132;124;135;2018
160;182;135;2018
